participant_id,study_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score,human_likeness_score,story_id,premise_id,model_short,strategy
11,156,2,2,2,2,3,2,7.88E+18,7,Mixtral-8x7B,plan_write
15,156,3,3,1,1,1,2,7.88E+18,7,Mixtral-8x7B,plan_write
8,157,4,3,3,3,4,5,iy9pmac,13,Human-Intermediate,
10,157,2,2,1,1,2,1,iy9pmac,13,Human-Intermediate,
11,157,2,2,3,3,2,4,iy9pmac,13,Human-Intermediate,
15,157,2,2,2,2,3,4,iy9pmac,13,Human-Intermediate,
8,158,2,1,2,1,1,1,5.98E+18,13,Mixtral-8x7B,plan_write
10,158,3,4,3,3,3,3,5.98E+18,13,Mixtral-8x7B,plan_write
11,158,2,2,2,2,3,2,5.98E+18,13,Mixtral-8x7B,plan_write
15,158,2,2,1,2,2,2,5.98E+18,13,Mixtral-8x7B,plan_write
8,159,3,1,3,1,1,1,4.37E+18,16,Mixtral-8x7B,plan_write
10,159,3,4,3,3,4,4,4.37E+18,16,Mixtral-8x7B,plan_write
11,159,2,2,2,2,3,2,4.37E+18,16,Mixtral-8x7B,plan_write
15,159,2,2,2,2,1,2,4.37E+18,16,Mixtral-8x7B,plan_write
8,160,3,3,3,3,2,1,4.55E+18,19,GPT-3.5,writer_profile
10,160,3,2,1,2,2,3,4.55E+18,19,GPT-3.5,writer_profile
11,160,3,3,2,3,3,2,4.55E+18,19,GPT-3.5,writer_profile
15,160,2,2,2,2,2,1,4.55E+18,19,GPT-3.5,writer_profile
8,161,5,4,4,3,4,5,k9pw9gi,18,Human-Novice,
10,161,4,4,4,4,4,5,k9pw9gi,18,Human-Novice,
11,161,3,3,3,4,2,4,k9pw9gi,18,Human-Novice,
15,161,2,2,2,2,2,2,k9pw9gi,18,Human-Novice,
8,162,3,2,3,2,2,5,j42m4p7,11,Human-Novice,
10,162,2,3,3,4,3,5,j42m4p7,11,Human-Novice,
11,162,2,3,4,4,2,4,j42m4p7,11,Human-Novice,
15,162,3,4,3,5,3,4,j42m4p7,11,Human-Novice,
8,163,2,1,2,1,2,1,-8.93E+18,3,Mixtral-8x7B,plan_write
10,163,3,4,2,3,3,3,-8.93E+18,3,Mixtral-8x7B,plan_write
11,163,2,2,2,2,3,2,-8.93E+18,3,Mixtral-8x7B,plan_write
15,163,3,4,3,4,3,3,-8.93E+18,3,Mixtral-8x7B,plan_write
8,164,1,1,1,1,1,1,-8.82E+17,10,GPT-3.5,plan_write
10,164,2,1,1,2,1,2,-8.82E+17,10,GPT-3.5,plan_write
11,164,2,2,2,2,3,2,-8.82E+17,10,GPT-3.5,plan_write
15,164,3,4,3,3,3,3,-8.82E+17,10,GPT-3.5,plan_write
8,165,1,1,1,1,1,1,-8.76E+18,17,GPT-3.5,plan_write
10,165,1,1,1,1,1,1,-8.76E+18,17,GPT-3.5,plan_write
11,165,2,3,2,3,3,2,-8.76E+18,17,GPT-3.5,plan_write
15,165,3,3,3,3,3,2,-8.76E+18,17,GPT-3.5,plan_write
8,166,1,1,3,1,3,1,7.99E+18,10,Mixtral-8x7B,writer_profile
10,166,2,3,2,3,3,3,7.99E+18,10,Mixtral-8x7B,writer_profile
11,166,2,3,3,3,3,2,7.99E+18,10,Mixtral-8x7B,writer_profile
15,166,3,3,3,4,3,4,7.99E+18,10,Mixtral-8x7B,writer_profile
8,167,2,1,2,1,1,4,3.34E+18,18,Llama-2-70B,plan_write
